requested_dev_sms,requested_zc_sms,pattern,size_mb,iters,dev_sms,zc_sms,dev_solo_gbps,zc_solo_gbps,dev_co_gbps,zc_co_gbps,aggregate_gbps,solo_sum_gbps,aggregate_ratio_pct,device_preserve_ratio_pct,zc_preserve_ratio_pct
14,2,strided,8,1,14,2,12.980639,5.675341,11.356583,4.242430,15.599013,18.655980,83.614012,87.488629,74.751989
14,2,strided,8,2,14,2,25.985724,7.856621,22.372007,4.278156,26.650163,33.842345,78.747979,86.093453,54.452872
14,2,strided,8,4,14,2,51.891718,14.164395,44.401086,4.301603,48.702689,66.056114,73.729268,85.564878,30.369127
14,2,strided,8,8,14,2,103.445568,20.180447,89.817636,6.501184,96.318820,123.626015,77.911450,86.825988,32.215263
14,2,strided,8,16,14,2,183.670698,25.666893,167.223669,6.698796,173.922465,209.337590,83.082291,91.045372,26.098976
14,2,strided,8,32,14,2,234.574209,24.837104,229.957181,10.331748,240.288929,259.411313,92.628546,98.031741,41.598038
14,2,strided,16,1,14,2,13.150927,5.713563,11.478916,4.238692,15.717607,18.864491,83.318483,87.285981,74.186480
14,2,strided,16,2,14,2,26.097614,7.856621,22.545657,4.262643,26.808300,33.954235,78.954216,86.389727,54.255419
14,2,strided,16,4,14,2,52.440601,14.157032,44.747835,4.278994,49.026828,66.597633,73.616473,85.330515,30.225219
14,2,strided,16,8,14,2,104.776396,20.214390,89.750370,6.465109,96.215479,124.990786,76.978057,85.658959,31.982704
14,2,strided,16,16,14,2,185.326271,25.302177,169.930278,6.682063,176.612341,210.628448,83.850184,91.692493,26.409044
14,2,strided,16,32,14,2,237.563602,24.693874,233.162606,10.259437,243.422043,262.257476,92.817961,98.147445,41.546485
14,2,strided,32,1,14,2,13.187479,5.695780,11.518257,4.223327,15.741583,18.883259,83.362641,87.342369,74.148350
14,2,strided,32,2,14,2,26.301193,7.857180,22.666277,4.254790,26.921067,34.158373,78.812499,86.179654,54.151620
14,2,strided,32,4,14,2,52.655219,14.143331,44.935761,4.277772,49.213533,66.798550,73.674552,85.339614,30.245858
14,2,strided,32,8,14,2,105.249658,20.202073,90.316621,6.472712,96.789332,125.451731,77.152648,85.811794,32.039839
14,2,strided,32,16,14,2,186.970270,25.398128,171.079118,6.666917,177.746035,212.368397,83.697027,91.500707,26.249638
14,2,strided,32,32,14,2,239.354813,24.883446,235.509351,10.307137,245.816488,264.238259,93.028348,98.393405,41.421663
14,2,strided,64,1,14,2,13.166945,5.679829,11.463417,4.145511,15.608929,18.846774,82.820160,87.062088,72.986549
14,2,strided,64,2,14,2,26.360205,7.839469,22.404871,4.201994,26.606865,34.199674,77.798593,84.995059,53.600487
14,2,strided,64,4,14,2,52.807033,14.165519,44.488211,4.219460,48.707672,66.972551,72.727812,84.246754,29.786841
