pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
scatter,16,8,4,4,6,4,4,5.509308,7.669073,2.951052,3.988529,6.601096,6.646959,6.693381,13.178381,50.090343,50.438354,50.790617,53.564840,52.007964,201.923517,0.999907
scatter,16,16,2,2,2,4,4,7.622972,8.784554,3.867119,3.966824,7.723428,7.733468,7.744215,16.407526,47.072472,47.133662,47.199161,50.729803,45.156811,138.843512,0.999894
scatter,16,32,1,1,1,4,4,8.241858,9.631268,4.129934,4.258548,8.247796,8.258866,8.269672,17.873126,46.146353,46.208292,46.268753,50.109257,44.215866,130.010804,0.999884
scatter,32,1,16,16,16,4,4,3.607775,3.601336,1.693300,1.693862,3.385811,3.386357,3.386903,7.209111,46.965723,46.973302,46.980867,46.934761,47.034266,317.078709,0.999936
scatter,32,2,8,8,9,4,4,3.885391,4.414671,2.076477,2.220568,4.191136,4.194056,4.196919,8.300062,50.495241,50.530421,50.564906,53.443182,50.299737,272.016063,0.999916
scatter,32,4,4,4,6,4,4,4.402944,6.207597,2.292527,3.157730,5.255962,5.262256,5.268736,10.610541,49.535290,49.594606,49.655679,52.068041,50.868809,255.057391,0.999914
scatter,32,8,2,2,3,4,4,5.511256,8.277572,2.844663,3.920430,6.490737,6.533421,6.578543,13.788828,47.072437,47.381985,47.709224,51.615512,47.362074,205.432557,0.999901
scatter,32,16,1,1,1,4,4,7.997129,9.715142,3.828108,3.947687,7.644133,7.655408,7.667533,17.712271,43.157271,43.220928,43.289384,47.868532,40.634370,140.259253,0.999893
scatter,32,32,1,1,1,4,4,8.718245,10.869600,4.115022,4.270745,8.221189,8.229428,8.238929,19.587845,41.970870,42.012935,42.061438,47.200113,39.290734,260.951739,0.999930
scatter,64,1,8,8,9,4,4,3.315038,3.565201,0.689360,0.757169,1.429693,1.430134,1.430557,6.880239,20.779694,20.786111,20.792251,20.794931,21.237752,797.722835,0.999946
scatter,64,2,4,4,5,4,4,3.622913,4.379052,0.888819,1.053808,1.894890,1.896750,1.898139,8.001964,23.680307,23.703553,23.720914,24.533264,24.064750,636.857595,0.999944
scatter,64,4,2,2,3,4,4,4.111455,6.230460,1.074760,1.505914,2.503494,2.509706,2.514640,10.341915,24.207257,24.267318,24.315027,26.140619,24.170186,534.794727,0.999941
scatter,64,8,1,1,2,4,4,5.198416,8.453672,1.419253,2.439530,3.650327,3.658943,3.668198,13.652087,26.738236,26.801342,26.869139,27.301641,28.857638,440.185294,0.999936
scatter,64,16,1,1,1,4,4,7.825501,10.050851,1.635243,1.639181,3.267909,3.270287,3.272900,17.876352,18.280624,18.293929,18.308548,20.896336,16.308874,656.665168,0.999945
scatter,64,32,1,1,1,4,4,8.642719,11.373406,1.761975,1.770147,3.520580,3.523808,3.525901,20.016126,17.588717,17.604844,17.615302,20.386813,15.563915,1218.842691,0.999960
