pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
uniform,8,1,64,64,65,8,8,24.759763,25.039836,21.627677,21.774176,43.128966,43.198439,43.240695,49.799599,86.605047,86.744551,86.829404,87.350096,86.958140,25.050221,0.999665
uniform,8,2,32,36,32,8,8,42.671659,37.835692,39.181525,34.209824,72.591065,72.657633,72.730411,80.507350,90.167003,90.249689,90.340088,91.820957,90.416806,15.701732,0.999464
uniform,8,4,16,18,16,8,8,71.618236,64.125735,68.481167,60.511640,128.313943,128.463283,128.589763,135.743971,94.526440,94.636456,94.729631,95.619735,94.364049,8.880753,0.999023
uniform,8,8,8,9,8,8,8,107.163632,97.756795,104.722622,94.672071,197.348317,197.572517,197.765373,204.920427,96.304854,96.414262,96.508375,97.722166,96.844491,5.774339,0.998837
uniform,8,16,4,5,4,8,8,139.834603,123.577230,138.914595,122.505247,249.522999,249.711221,249.888095,263.411832,94.727331,94.798787,94.865934,99.342075,99.132540,4.837426,0.998641
uniform,8,32,2,2,2,8,8,156.729031,143.806765,156.263367,142.929572,284.786471,285.212512,285.537815,300.535797,94.759584,94.901344,95.009586,99.702886,99.390020,3.764708,0.997729
uniform,16,1,32,32,32,8,8,25.097333,25.206077,21.962351,21.988920,43.883702,43.913278,43.938924,50.303410,87.238026,87.296820,87.347804,87.508702,87.236582,24.451416,0.999736
uniform,16,2,16,18,16,8,8,43.219973,38.148416,39.721379,34.624181,73.466731,73.535982,73.585766,81.368388,90.289033,90.374141,90.435325,91.905146,90.761779,15.514183,0.999457
uniform,16,4,8,9,8,8,8,72.072341,64.382647,68.951995,60.784154,128.898001,129.036561,129.117408,136.454987,94.461920,94.563463,94.622711,95.670537,94.410773,8.841298,0.999007
uniform,16,8,4,4,4,8,8,107.910102,98.080253,105.247671,95.530806,190.580711,190.771379,190.919001,205.990355,92.519240,92.611801,92.683466,97.532732,97.400652,5.628422,0.998469
