pattern,size_mb,iters,base_batches,dev_batches,zc_batches,dev_sms,zc_sms,dev_solo_p50_gbps,zc_solo_p50_gbps,dev_co_p50_gbps,zc_co_p50_gbps,aggregate_common_p05_gbps,aggregate_common_p50_gbps,aggregate_common_p95_gbps,solo_sum_p50_gbps,aggregate_ratio_p05_pct,aggregate_ratio_p50_pct,aggregate_ratio_p95_pct,device_preserve_p50_pct,zc_preserve_p50_pct,co_wall_p50_ms,overlap_p50_ratio
scatter,32,1,16,16,16,4,4,3.611133,3.606087,1.793669,1.794028,3.586708,3.587121,3.587311,7.217220,49.696533,49.702249,49.704886,49.670522,49.750004,299.332498,0.999941
scatter,32,2,8,8,9,4,4,3.889266,4.418721,2.128518,2.304848,4.350423,4.353294,4.356100,8.307987,52.364342,52.398902,52.432684,54.728024,52.160979,262.066089,0.999928
scatter,32,4,4,4,6,4,4,4.406405,6.218374,2.342681,3.275530,5.453157,5.458820,5.466231,10.624779,51.324895,51.378198,51.447948,53.165366,52.675032,245.873158,0.999924
scatter,32,8,2,2,3,4,4,5.502420,8.314126,2.839969,4.016939,6.661579,6.694315,6.725346,13.816547,48.214500,48.451437,48.676024,51.613084,48.314623,200.495077,0.999915
scatter,32,16,1,1,1,4,4,8.064023,9.793032,4.068941,4.193029,8.121272,8.137103,8.151927,17.857054,45.479350,45.568001,45.651015,50.457953,42.816459,131.956283,0.999904
scatter,32,32,1,1,1,4,4,8.873226,10.963581,4.373433,4.531389,8.737249,8.746276,8.759388,19.836806,44.045643,44.091151,44.157248,49.287970,41.331291,245.531196,0.999931
scatter,64,1,8,8,8,4,4,3.536813,3.562194,0.751338,0.751343,1.502096,1.502602,1.502967,7.099007,21.159237,21.166367,21.171507,21.243372,21.092133,714.588376,0.999950
scatter,64,2,4,4,5,4,4,3.804976,4.376716,0.967901,1.141991,2.053307,2.055443,2.057361,8.181692,25.096367,25.122470,25.145911,25.437782,26.092426,587.688176,0.999942
scatter,64,4,2,2,3,4,4,4.313223,6.227826,1.158691,1.619450,2.693221,2.698909,2.706583,10.541049,25.549839,25.603796,25.676599,26.863697,26.003448,497.303699,0.999937
scatter,64,8,1,1,2,4,4,5.430927,8.425943,1.537683,2.615723,3.912005,3.923327,3.934233,13.856871,28.231519,28.313224,28.391928,28.313445,31.043685,410.522184,0.999935
scatter,64,16,1,1,1,4,4,8.106296,10.036702,1.787264,1.794113,3.570988,3.574330,3.578049,18.142998,19.682461,19.700877,19.721378,22.047855,17.875521,600.807360,0.999944
scatter,64,32,1,1,1,4,4,8.969818,11.372416,1.928837,1.940881,3.854209,3.857473,3.860665,20.342233,18.946831,18.962879,18.978571,21.503635,17.066569,1113.414683,0.999950
